row_key,user_1,user_2,totalFrames,matchFrames,totalcM,matchcM,matching_segments,data_share_time,gc_time,execution_time
0
1,1,2,3491,0,3579,0,0,11.017,322.009,333.026
2,1,3,3171,7,3472,23,4,13.143,90.573,103.716
3,1,4,3172,4,3473,16,3,12.288,87.442,99.72999999999999
4,1,5,3490,0,3578,0,0,9.895,229.474,239.369
5,1,6,2674,4,3232,20,4,13.885,70.41,84.295
6,1,7,2660,3,3224,11,2,13.695,74.959,88.654
7,1,8,2663,6,3224,30,6,14.778,69.688,84.46600000000001
8,1,9,2674,1,3231,5,1,13.374,76.571,89.945
9,1,10,2674,2,3228,10,2,13.021,76.249,89.27
10,1,11,2660,2,3218,10,2,33.675,70.625,104.3
11,1,12,2678,2,3229,10,2,14.122,69.05,83.172
12,1,13,3490,1,3578,5,1,9.175,259.681,268.856
13,1,14,2660,2,3222,10,2,17.128,68.967,86.095
14,1,15,3490,0,3578,0,0,9.671,211.624,221.295
15,2,3,3159,0,3463,0,0,11.738,88.224,99.962
16,2,4,3159,0,3463,0,0,11.921,87.359,99.28
17,2,5,3490,0,3578,0,0,9.383,206.614,215.997
18,2,6,2650,0,3224,0,0,13.109,74.974,88.083
19,2,7,2635,0,3212,0,0,13.996,67.215,81.211
20,2,8,2644,0,3218,0,0,14.066,67.172,81.238
21,2,9,2652,0,3215,0,0,13.495,66.449,79.944
22,2,10,2650,0,3221,0,0,12.71,66.73,79.44
23,2,11,2639,0,3200,0,0,12.981,74.899,87.87
24,2,12,2656,2,3217,6,1,15.743,71.284,87.027
25,2,13,3490,0,3578,0,0,17.953,278.726,296.679
26,2,14,2640,0,3207,0,0,14.727,68.962,83.68900000000001
27,2,15,3490,0,3578,0,0,10.748,236.341,247.089
28,3,4,3491,4,3579,20,4,12.263,363.386,375.649
29,3,5,3184,4,3507,16,3,15.223,153.471,168.69400000000002
30,3,6,3298,3,3528,15,3,22.589,130.893,153.482
31,3,7,3293,6,3525,22,4,13.591,122.75,136.341
32,3,8,3296,1,3527,5,1,30.184,147.724,177.908
33,3,9,3295,3,3527,15,3,14.733,145.511,160.244
34,3,10,3294,1,3526,5,1,22.612,134.067,156.679
35,3,11,3292,0,3526,0,0,15.064,145.377,160.441
36,3,12,3298,5,3528,21,4,21.862,146.454,168.316
37,3,13,3185,4,3508,20,4,22.382,131.951,154.333
38,3,14,3295,4,3527,16,3,16.759,100.31,117.069
39,3,15,3186,1,3509,5,1,13.109,142.348,155.45700000000002
40,4,5,3185,1,3507,5,1,25.843,135.378,161.22099999999998
41,4,6,3297,7,3527,31,6,25.239,147.248,172.487
42,4,7,3292,6,3525,26,5,25.553,150.276,175.829
43,4,8,3294,10,3525,34,6,26.038,148.259,174.297
44,4,9,3294,5,3526,21,4,25.505,147.632,173.137
45,4,10,3294,4,3526,16,3,24.388,139.025,163.413
46,4,11,3290,4,3524,12,2,18.493,143.425,161.918
47,4,12,3297,7,3527,27,5,23.017,146.502,169.519
48,4,13,3186,2,3508,10,2,23.017,126.269,149.286
49,4,14,3295,5,3526,17,3,23.952,144.613,168.565
50,4,15,3187,0,3509,0,0,23.855,132.639,156.494
51,5,6,2927,6,3356,26,5,25.173,108.798,133.971
52,5,7,2917,6,3352,18,3,14.614,116.375,130.989
53,5,8,2921,10,3347,38,7,25.089,105.721,130.81
54,5,9,2924,7,3355,23,4,23.63,106.903,130.53300000000002
55,5,10,2922,6,3355,14,2,22.992,94.915,117.90700000000001
56,5,11,2917,3,3354,15,3,25.22,111.967,137.187
57,5,12,2927,6,3357,26,5,25.235,112.584,137.81900000000002
58,5,13,3491,1,3579,5,1,16.354,417.615,433.969
59,5,14,2911,4,3343,16,3,25.538,110.359,135.897
60,5,15,3491,0,3579,0,0,14.359,394.242,408.601
61,6,7,3491,0,3579,0,0,16.491,444.243,460.734
62,6,8,3491,1,3579,5,1,16.127,360.024,376.151
63,6,9,3491,2,3579,10,2,18.72,444.595,463.31500000000005
64,6,10,3491,0,3579,0,0,15.676,443.885,459.561
65,6,11,3491,0,3579,0,0,16.76,473.101,489.861
66,6,12,3491,0,3579,0,0,14.712,426.475,441.187
67,6,13,2920,4,3357,12,2,26.0,111.852,137.852
68,6,14,3491,4,3579,8,1,15.877,443.223,459.1
69,6,15,2929,0,3353,0,0,25.741,112.898,138.639
70,7,8,3491,2,3579,10,2,15.577,426.114,441.691
71,7,9,3491,5,3579,17,3,15.991,268.143,284.13399999999996
