row_key,user_1,user_2,totalFrames,matchFrames,totalcM,matchcM,matching_segments,data_share_time,gc_time,execution_time,user_1_Snips,user_2_Snips,common_snips,padded_snips
0
1,70,90,3491,0,3579,0,0,14.368,179.899,194.267,702541,664448,407436,185204
2,70,91,3491,0,3579,0,0,14.215,179.769,193.984,702541,650429,386163,181133
3,70,92,3491,0,3579,0,0,14.804,180.531,195.335,702541,668961,390886,183834
4,70,93,3491,0,3579,0,0,13.205,179.511,192.716,702541,668961,390886,183834
5,70,94,3491,0,3579,0,0,13.107,184.001,197.108,702541,664448,407436,185204
6,70,95,3491,0,3579,0,0,13.666,176.289,189.954,702541,650429,386163,181133
7,70,96,3491,0,3579,0,0,12.886,184.598,197.484,702541,664448,409945,185767
8,71,90,3491,0,3579,0,0,13.536,185.839,199.375,680545,664448,414788,188092
9,71,91,3491,0,3579,0,0,14.215,179.769,193.984,680545,650429,386163,181133
10,71,92,3491,2,3579,10,2,13.058,186.392,199.45,680545,668961,399019,183637
11,71,93,3491,2,3579,10,2,13.096,222.894,235.99,680545,668961,399019,183637
12,71,94,3491,0,3579,0,0,13.051,186.152,199.20299999999997,680545,664448,414788,188092
13,71,95,3491,0,3579,0,0,13.319,180.173,193.492,680545,650429,394223,183313
14,71,96,3491,0,3579,0,0,13.305,189.254,202.559,680545,664448,417350,188346
15,72,90,3491,1,3579,5,1,13.651,189.243,202.894,702443,664448,416481,187679
16,72,91,3491,0,3579,0,0,13.174,180.478,193.65200000000002,702443,650429,394909,184163
17,72,92,3491,0,3579,0,0,14.135,179.932,194.06699999999998,702443,668961,399750,183930
18,72,93,3491,0,3579,0,0,13.292,180.251,193.543,702443,668961,399750,183930
19,72,94,3491,1,3579,5,1,13.395,187.894,201.28900000000002,702443,664448,416481,187679
20,72,95,3491,0,3579,0,0,13.259,180.898,194.15699999999998,702443,650429,394909,184163
21,72,96,3491,0,3579,0,0,14.105,189.024,203.129,702443,664448,419048,187160
22,73,90,3491,0,3579,0,0,14.222,189.127,203.34900000000002,707270,664448,422061,187475
23,73,91,3491,0,3579,0,0,14.192,180.614,194.806,707270,650429,399722,183702
24,73,92,3491,0,3579,0,0,13.884,181.253,195.137,707270,668961,404949,184363
25,73,93,3491,0,3579,0,0,13.772,183.106,196.878,707270,668961,404949,184363
26,73,94,3491,0,3579,0,0,13.954,189.242,203.196,707270,664448,422061,187475
27,73,95,3491,0,3579,0,0,14.01,180.329,194.339,707270,650429,399722,183702
28,73,96,3491,0,3579,0,0,13.182,188.434,201.61599999999999,707270,664448,424718,185842
29,74,90,3491,0,3579,0,0,14.125,189.287,203.412,707270,664448,421898,187638
30,74,91,3491,0,3579,0,0,13.65,180.526,194.17600000000002,707270,650429,399605,183819
