Chr : 16 || GC : 1000 || CM : 70 is a Match
Chr : 18 || GC : 1001 || CM : 106 is a Match
Chr : 7 || GC : 1001 || CM : 82 is a Match
Chr : 8 || GC : 1002 || CM : 49 is a Match
Chr : 10 || GC : 1004 || CM : 30 is a Match
Chr : 12 || GC : 1004 || CM : 105 is a Match
Chr : 14 || GC : 1004 || CM : 16 is a Match
Chr : 1 || GC : 1004 || CM : 255 is a Match
Chr : 2 || GC : 1004 || CM : 93 is a Match
Chr : 3 || GC : 1004 || CM : 21 is a Match
Chr : 5 || GC : 1004 || CM : 173 is a Match
Chr : 5 || GC : 1004 || CM : 175 is a Match
Chr : 13 || GC : 1005 || CM : 2 is a Match
Chr : 21 || GC : 1005 || CM : 15 is a Match
Chr : 2 || GC : 1005 || CM : 8 is a Match
Chr : 6 || GC : 1005 || CM : 31 is a Match
Chr : 9 || GC : 1005 || CM : 9 is a Match
Chr : 5 || GC : 1006 || CM : 96 is a Match
Chr : 7 || GC : 1006 || CM : 9 is a Match
Chr : 4 || GC : 1007 || CM : 27 is a Match
Chr : 8 || GC : 1007 || CM : 152 is a Match
Chr : 9 || GC : 1007 || CM : 2 is a Match
Chr : 13 || GC : 1008 || CM : 21 is a Match
Chr : 1 || GC : 1008 || CM : 64 is a Match
Chr : 20 || GC : 1008 || CM : 84 is a Match
Chr : 5 || GC : 1008 || CM : 176 is a Match
Chr : 6 || GC : 1009 || CM : 13 is a Match
Chr : 8 || GC : 1009 || CM : 131 is a Match
Chr : 8 || GC : 1009 || CM : 23 is a Match
Chr : 1 || GC : 1011 || CM : 160 is a Match
Chr : 21 || GC : 1011 || CM : 14 is a Match
Chr : 11 || GC : 1012 || CM : 141 is a Match
Chr : 20 || GC : 1012 || CM : 45 is a Match
Chr : 2 || GC : 1012 || CM : 220 is a Match
Chr : 3 || GC : 1012 || CM : 1 is a Match
Chr : 8 || GC : 1012 || CM : 151 is a Match
Chr : 10 || GC : 1013 || CM : 169 is a Match
Chr : 12 || GC : 1013 || CM : 123 is a Match
Chr : 14 || GC : 1013 || CM : 13 is a Match
Chr : 11 || GC : 1014 || CM : 78 is a Match
Chr : 2 || GC : 1014 || CM : 3 is a Match
Chr : 3 || GC : 1014 || CM : 171 is a Match
Chr : 4 || GC : 1014 || CM : 93 is a Match
Chr : 5 || GC : 1014 || CM : 201 is a Match
Chr : 15 || GC : 1015 || CM : 34 is a Match
Chr : 3 || GC : 1015 || CM : 99 is a Match
Chr : 4 || GC : 1015 || CM : 141 is a Match
Chr : 5 || GC : 1015 || CM : 178 is a Match
Chr : 5 || GC : 1015 || CM : 95 is a Match
Chr : 6 || GC : 1016 || CM : 35 is a Match
Chr : 5 || GC : 1017 || CM : 22 is a Match
Chr : 13 || GC : 1018 || CM : 101 is a Match
Chr : 17 || GC : 1018 || CM : 103 is a Match
Chr : 1 || GC : 1019 || CM : 207 is a Match
Chr : 7 || GC : 1019 || CM : 13 is a Match
Chr : 7 || GC : 1019 || CM : 44 is a Match
Chr : 9 || GC : 1019 || CM : 8 is a Match
Chr : 14 || GC : 1020 || CM : 12 is a Match
Chr : 21 || GC : 1020 || CM : 60 is a Match
Chr : 3 || GC : 1020 || CM : 16 is a Match
Chr : 9 || GC : 1020 || CM : 92 is a Match
Chr : 5 || GC : 1021 || CM : 174 is a Match
Chr : 16 || GC : 1022 || CM : 60 is a Match
Chr : 2 || GC : 1022 || CM : 250 is a Match
Chr : 13 || GC : 1023 || CM : 114 is a Match
Chr : 14 || GC : 1023 || CM : 14 is a Match
Chr : 17 || GC : 1023 || CM : 45 is a Match
Chr : 4 || GC : 1023 || CM : 0 is a Match
Chr : 5 || GC : 1024 || CM : 172 is a Match
Chr : 13 || GC : 513 || CM : 120 is a Match
Chr : 10 || GC : 514 || CM : 161 is a Match
Chr : 1 || GC : 514 || CM : 263 is a Match
Chr : 2 || GC : 514 || CM : 14 is a Match
Chr : 4 || GC : 514 || CM : 199 is a Match
Chr : 4 || GC : 515 || CM : 201 is a Match
Chr : 19 || GC : 516 || CM : 25 is a Match
Chr : 17 || GC : 517 || CM : 57 is a Match
Chr : 21 || GC : 518 || CM : 57 is a Match
Chr : 16 || GC : 519 || CM : 1 is a Match
Chr : 19 || GC : 519 || CM : 12 is a Match
Chr : 7 || GC : 519 || CM : 166 is a Match
Chr : 22 || GC : 520 || CM : 26 is a Match
Chr : 18 || GC : 521 || CM : 20 is a Match
Chr : 22 || GC : 521 || CM : 57 is a Match
Chr : 9 || GC : 521 || CM : 160 is a Match
Chr : 17 || GC : 522 || CM : 119 is a Match
Chr : 20 || GC : 522 || CM : 100 is a Match
Chr : 18 || GC : 523 || CM : 121 is a Match
Chr : 13 || GC : 524 || CM : 122 is a Match
Chr : 17 || GC : 524 || CM : 27 is a Match
