Chr : 3 || GC : 1000 || CM : 182 is a MatchChr : 22 || GC : 100 || CM : 69 is a MatchChr : 5 || GC : 1025 || CM : 101 is a MatchChr : 19 || GC : 130 || CM : 97 is a MatchChr : 12 || GC : 2054 || CM : 58 is a MatchChr : 13 || GC : 257 || CM : 118 is a MatchChr : 3 || GC : 1000 || CM : 182 is a Match
Chr : 6 || GC : 1000 || CM : 58 is a Match
Chr : 16 || GC : 1001 || CM : 55 is a Match
Chr : 8 || GC : 1001 || CM : 19 is a Match
Chr : 11 || GC : 1002 || CM : 89 is a Match
Chr : 15 || GC : 1002 || CM : 78 is a Match
Chr : 1 || GC : 1002 || CM : 180 is a Match
Chr : 2 || GC : 1002 || CM : 70 is a Match
Chr : 3 || GC : 1002 || CM : 143 is a Match
Chr : 9 || GC : 1002 || CM : 100 is a Match
Chr : 3 || GC : 1004 || CM : 183 is a Match
Chr : 7 || GC : 1004 || CM : 117 is a Nopes
Chr : 1 || GC : 1006 || CM : 112 is a Match
Chr : 1 || GC : 1006 || CM : 236 is a Match
Chr : 2 || GC : 1006 || CM : 123 is a Match
Chr : 5 || GC : 1006 || CM : 139 is a Match
Chr : 2 || GC : 1007 || CM : 158 is a Match
Chr : 7 || GC : 1007 || CM : 50 is a Match
Chr : 18 || GC : 1008 || CM : 45 is a Match
Chr : 1 || GC : 1008 || CM : 187 is a Match
Chr : 7 || GC : 1008 || CM : 119 is a Match
Chr : 4 || GC : 1009 || CM : 53 is a Match
Chr : 6 || GC : 1009 || CM : 56 is a Match
Chr : 8 || GC : 1009 || CM : 33 is a Match
Chr : 9 || GC : 1009 || CM : 118 is a Match
Chr : 12 || GC : 1010 || CM : 52 is a Match
Chr : 17 || GC : 1010 || CM : 71 is a Match
Chr : 2 || GC : 1010 || CM : 57 is a Match
Chr : 8 || GC : 1010 || CM : 111 is a Match
Chr : 8 || GC : 1010 || CM : 32 is a Match
Chr : 7 || GC : 1011 || CM : 28 is a Match
Chr : 2 || GC : 1012 || CM : 200 is a Match
Chr : 6 || GC : 1012 || CM : 79 is a Match
Chr : 9 || GC : 1012 || CM : 103 is a Match
Chr : 10 || GC : 1013 || CM : 57 is a Match
Chr : 12 || GC : 1014 || CM : 43 is a Match
Chr : 16 || GC : 1014 || CM : 58 is a Match
Chr : 17 || GC : 1014 || CM : 48 is a Match
Chr : 6 || GC : 1014 || CM : 147 is a Match
Chr : 7 || GC : 1014 || CM : 65 is a Match
Chr : 3 || GC : 1015 || CM : 57 is a Match
Chr : 7 || GC : 1015 || CM : 49 is a Match
Chr : 16 || GC : 1016 || CM : 57 is a Match
Chr : 1 || GC : 1016 || CM : 153 is a Match
Chr : 11 || GC : 1017 || CM : 111 is a Match
Chr : 1 || GC : 1017 || CM : 195 is a Match
Chr : 8 || GC : 1017 || CM : 31 is a Match
Chr : 11 || GC : 1018 || CM : 61 is a Match
Chr : 8 || GC : 1018 || CM : 17 is a Nopes
Chr : 12 || GC : 1019 || CM : 60 is a Match
Chr : 15 || GC : 1019 || CM : 40 is a Match
Chr : 3 || GC : 1019 || CM : 112 is a Match
Chr : 16 || GC : 1020 || CM : 59 is a Nopes
Chr : 1 || GC : 1020 || CM : 107 is a Match
Chr : 6 || GC : 1020 || CM : 101 is a Match
Chr : 8 || GC : 1020 || CM : 10 is a Match
Chr : 2 || GC : 1021 || CM : 62 is a Match
Chr : 9 || GC : 1021 || CM : 117 is a Nopes
Chr : 12 || GC : 1022 || CM : 53 is a Match
Chr : 18 || GC : 1022 || CM : 80 is a Match
Chr : 5 || GC : 1022 || CM : 110 is a Match
Chr : 8 || GC : 1022 || CM : 54 is a Match
Chr : 16 || GC : 1023 || CM : 90 is a Match
Chr : 12 || GC : 513 || CM : 140 is a Match
Chr : 6 || GC : 513 || CM : 140 is a Match
Chr : 18 || GC : 514 || CM : 41 is a Match
Chr : 19 || GC : 514 || CM : 55 is a Match
Chr : 2 || GC : 514 || CM : 21 is a Match
Chr : 14 || GC : 515 || CM : 8 is a Match
Chr : 20 || GC : 515 || CM : 20 is a Match
Chr : 3 || GC : 515 || CM : 11 is a Nopes
Chr : 3 || GC : 515 || CM : 139 is a Match
Chr : 5 || GC : 515 || CM : 60 is a Match
Chr : 8 || GC : 516 || CM : 157 is a Match
Chr : 12 || GC : 517 || CM : 3 is a Match
Chr : 16 || GC : 517 || CM : 61 is a Match
Chr : 18 || GC : 517 || CM : 90 is a Match
Chr : 19 || GC : 517 || CM : 37 is a Match
Chr : 20 || GC : 517 || CM : 21 is a Match
Chr : 22 || GC : 517 || CM : 11 is a Nopes
Chr : 2 || GC : 517 || CM : 93 is a Match
Chr : 6 || GC : 517 || CM : 1 is a Nopes
Chr : 16 || GC : 518 || CM : 53 is a Match
Chr : 3 || GC : 519 || CM : 13 is a Match
Chr : 3 || GC : 519 || CM : 3 is a Match
Chr : 5 || GC : 519 || CM : 183 is a Match
Chr : 14 || GC : 520 || CM : 103 is a Match
Chr : 19 || GC : 520 || CM : 42 is a Match
Chr : 11 || GC : 521 || CM : 154 is a Match
Chr : 11 || GC : 521 || CM : 155 is a Match
Chr : 12 || GC : 521 || CM : 29 is a Match
Chr : 16 || GC : 521 || CM : 54 is a Match
Chr : 17 || GC : 521 || CM : 63 is a Match
Chr : 20 || GC : 521 || CM : 68 is a Match
Chr : 2 || GC : 521 || CM : 141 is a Match
Chr : 13 || GC : 522 || CM : 12 is a Match
